Microwave II/XT/PC Factory Sounds June 1998	
133	Ocean        WMF
134	Oww!          DN
135	Bland         DN
136	Full Moon      T
137	DistoPad     WMF
138	Quiet Earth    T
139	Deep Sync    WMF
140	Everlast       T
141	SawPWM Str   WMF
142	Pulpad        DN
143	DoubleSine   WMF
144	Space Night    T
145	Artificial     T
146	FallingAngel WMF
147	Microsweep I  GB
148	Always Ultra   T
149	Fase  PAD     RP
150	Good old Times T
151	Da Swiiip    WMF
152	Jupiter      WMF
153	Carpet        GB
154	Fat Pad      WMF
155	WarmPad       DN
156	Solina       WMF
157	JX10P StringsWMF
158	Primitive Pad  S
159	SOFT PAD I    RP
160	SOFT PAD II   RP
161	Stenzel's Chor S
162	Hmmm Pad     WMF
163	Female Choir WMF
164	MelloChoir   WMF
165	Vocode 'em   WMF
166	Plain Choir  WMF
167	Rezzz         DN
168	Hmxpad        DN
169	Wavepad       DN
170	Doi!          DN
171	Deep Spaces   DN
172	Organic Wave   T
173	Texture       DN
174	Plastochinon   T
175	Harmonicsweep DN
176	Phasey        DN
177	Dusty Drone   DN
178	Bad UFO 1     DN
179	Phase Swell  WMF
180	Come In      WMF
181	Bottled Toys   S
182	HP Laserjet    S
183	HP R'us        S
184	Hi Pads      WMF
185	Moon Bass     GB
186	Pulse Bass   WMF
187	It's Acid !    T
188	Moog's Bass  WMF
189	Subwoof       DN
190	B-Asskick      T
191	Disco Bass   WMF
192	SPY 923Bass  DN
193	Phunk that !   T
194	Jarre Bass   WMF
195	More Mogue    DN
196	Bass Line  1 WMF
197	Moog Source   DN
198	Moog 1        DN
199	Hollow Bass  WMF
200	RudefuzzBass  DN
201	12dB Acid    WMF
202	18dB Acid    WMF
203	Trigger Bass WMF
204	JUNO-6 BASS   RP
205	Bassing       GM
206	4 Sine Bass  WMF
207	Why TB ?       T
208	RingSaw      WMF
209	Short Metal  WMF
210	Short Notes    T
211	p:Machinery  WMF
212	SmoothSyncSeqWMF
213	Weirdoz        T
214	Wood Seq     WMF
215	FastSequence WMF
216	Nice Day       T
217	perSOUND       T
218	PLUC SEQ  Two   
219	Tabla low     RP
220	Woods        WMF
221	Bottles        T
222	Noise        WMF
223	Nice Kick    WMF
224	Nice Snare   WMF
225	Nice Snare 2 WMF
226	Nice Hihat   WMF
227	Nice Hihat 2 WMF
228	Nice Cymbal  WMF
229	P&Q           RP
230	909 Kick 1   WMF
231	ZIP KICK 1    RP
232	ZIP KICK 1 -- RP
233	M.Wheel PONG  RP
234	Block&Clave  WMF
235	Snare Claps  WMF
236	4 Ur Mind    WMF
237	Ice Drops    WMF
238	Boomerang      T
239	Angenehm       T
240	Zelda          T
241	Imperial Code  T
242	Into CPU       T
243	MCP            T
244	experiMENTAL   T
245	Doppeltempo  WMF
246	Stenzel's RobotS
247	China Crisis   T
248	Nervous Nuance T
249	FM-Test        T
250	Cut+Res     WMF 
251	Clinics      WMF
252	Super Fat    WMF
253	P&Q           RP
254	Pulse Bass   WMF
255	Mantra         T
256	LetTheLFOPlayWMF



Multi Programs	

1	Fest Dance    RP
2	EEMEBAA       RP
3	SOFT PAD      RP
4	JO-MAX l      RP
5	Wolf-FramE    RP
6	Enid Pong     RP
